"version","version_season","season_name","season","tribe","tribe_colour","tribe_status"
"US","US01","Survivor: Borneo",1,"Pagong","#FFFF05","Original"
"US","US01","Survivor: Borneo",1,"Rattana","#7CFC00","Merged"
"US","US01","Survivor: Borneo",1,"Tagi","#FF9900","Original"
"US","US02","Survivor: The Australian Outback",2,"Barramundi","#FF6600","Merged"
"US","US02","Survivor: The Australian Outback",2,"Kucha","#32CCFF","Original"
"US","US02","Survivor: The Australian Outback",2,"Ogakor","#A7FC00","Original"
"US","US03","Survivor: Africa",3,"Boran","#FFD700","Original"
"US","US03","Survivor: Africa",3,"Moto Maji","#00A693","Merged"
"US","US03","Survivor: Africa",3,"Samburu","#E41A2A","Original"
"US","US04","Survivor: Marquesas",4,"Maraamu","#DFFF00","Original"
"US","US04","Survivor: Marquesas",4,"Rotu","#99FFFF","Original"
"US","US04","Survivor: Marquesas",4,"Soliantu","#F400A1","Merged"
"US","US05","Survivor: Thailand",5,"Chuay Gahn","#FF321D","Original"
"US","US05","Survivor: Thailand",5,"Chuay Jai","#FFAA00","Merged"
"US","US05","Survivor: Thailand",5,"Sook Jai","#7515D4","Original"
"US","US06","Survivor: The Amazon",6,"Jaburu","#FFF71B","Original"
"US","US06","Survivor: The Amazon",6,"Jacare","#FF1D1D","Merged"
"US","US06","Survivor: The Amazon",6,"Tambaqui","#3366FF","Original"
"US","US07","Survivor: Pearl Islands",7,"Balboa","#000000","Merged"
"US","US07","Survivor: Pearl Islands",7,"Drake","#87CEEB","Original"
"US","US07","Survivor: Pearl Islands",7,"Morgan","#F88E17","Original"
"US","US07","Survivor: Pearl Islands",7,"The Outcasts","#9400D3","Swapped"
"US","US08","Survivor: All-Stars",8,"Chaboga Mogo","#290FB8","Merged"
"US","US08","Survivor: All-Stars",8,"Chapera","#BC0E16","Original"
"US","US08","Survivor: All-Stars",8,"Mogo Mogo","#2F663B","Original"
"US","US08","Survivor: All-Stars",8,"Saboga","#EFCC24","Original"
"US","US09","Survivor: Vanuatu",9,"Alinta","#F77613","Merged"
"US","US09","Survivor: Vanuatu",9,"Lopevi","#E21A1D","Original"
"US","US09","Survivor: Vanuatu",9,"Yasur","#F6F33C","Original"
"US","US10","Survivor: Palau",10,"Koror","#784937","Merged"
"US","US10","Survivor: Palau",10,"Ulong","#2840B4","Original"
"US","US11","Survivor: Guatemala",11,"Nakum","#FFDC4C","Original"
"US","US11","Survivor: Guatemala",11,"Xhakum","#DC143C","Merged"
"US","US11","Survivor: Guatemala",11,"Yaxha","#69C0C0","Original"
"US","US12","Survivor: Panama",12,"Bayoneta","#00A5FA","Original"
"US","US12","Survivor: Panama",12,"Casaya","#7800AA","Original"
"US","US12","Survivor: Panama",12,"Gitanos","#000000","Merged"
"US","US12","Survivor: Panama",12,"La Mina","#FF8709","Original"
"US","US12","Survivor: Panama",12,"Viveros","#26F823","Original"
"US","US13","Survivor: Cook Islands",13,"Aitutaki","#EB1010","Original"
"US","US13","Survivor: Cook Islands",13,"Aitutonga","#000000","Merged"
"US","US13","Survivor: Cook Islands",13,"Manihiki","#FFF105","Original"
"US","US13","Survivor: Cook Islands",13,"Puka Puka","#46CA00","Original"
"US","US13","Survivor: Cook Islands",13,"Rarotonga","#0047AB","Original"
"US","US14","Survivor: Fiji",14,"Bula Bula","#660099","Merged"
"US","US14","Survivor: Fiji",14,"Moto","#7FFF00","Original"
"US","US14","Survivor: Fiji",14,"Ravu","#FF5E00","Original"
"US","US15","Survivor: China",15,"Fei Long","#C80815","Original"
"US","US15","Survivor: China",15,"Hae Da Fung","#000000","Merged"
"US","US15","Survivor: China",15,"Zhan Hu","#FFDF2A","Original"
"US","US16","Survivor: Micronesia",16,"Airai","#FF9933","Original"
"US","US16","Survivor: Micronesia",16,"Dabu","#CCFF99","Merged"
"US","US16","Survivor: Micronesia",16,"Malakal","#9370DB","Original"
"US","US17","Survivor: Gabon",17,"Fang","#DD241A","Original"
"US","US17","Survivor: Gabon",17,"Kota","#F5FF0A","Original"
"US","US17","Survivor: Gabon",17,"Nobag","#2B60DE","Merged"
"US","US18","Survivor: Tocantins",18,"Forza","#5DCE5D","Merged"
"US","US18","Survivor: Tocantins",18,"Jalapao","#C11B17","Original"
"US","US18","Survivor: Tocantins",18,"Timbira","#000000","Original"
"US","US19","Survivor: Samoa",19,"Aiga","#007355","Merged"
"US","US19","Survivor: Samoa",19,"Foa Foa","#FFEF00","Original"
"US","US19","Survivor: Samoa",19,"Galu","#823C96","Original"
"US","US20","Survivor: Heroes vs. Villains",20,"Heroes","#0156C0","Original"
"US","US20","Survivor: Heroes vs. Villains",20,"Villains","#CC0012","Original"
"US","US20","Survivor: Heroes vs. Villains",20,"Yin Yang","#000000","Merged"
"US","US21","Survivor: Nicaragua",21,"Espada","#004C9A","Original"
"US","US21","Survivor: Nicaragua",21,"La Flor","#FFE400","Original"
"US","US21","Survivor: Nicaragua",21,"Libertad","#AC192B","Merged"
"US","US22","Survivor: Redemption Island",22,"Murlonio","#000000","Merged"
"US","US22","Survivor: Redemption Island",22,"Ometepe","#F19027","Original"
"US","US22","Survivor: Redemption Island",22,"Zapatera","#703293","Original"
"US","US23","Survivor: South Pacific",23,"Savaii","#A91727","Original"
"US","US23","Survivor: South Pacific",23,"Te Tuna","#FEED01","Merged"
"US","US23","Survivor: South Pacific",23,"Upolu","#014B96","Original"
"US","US24","Survivor: One World",24,"Manono","#FC8501","Original"
"US","US24","Survivor: One World",24,"Salani","#6CBDB6","Original"
"US","US24","Survivor: One World",24,"Tikiano","#000000","Merged"
"US","US25","Survivor: Philippines",25,"Dangrayne","#000000","Merged"
"US","US25","Survivor: Philippines",25,"Kalabaw","#FF0126","Original"
"US","US25","Survivor: Philippines",25,"Matsing","#2150FF","Original"
"US","US25","Survivor: Philippines",25,"Tandang","#FFEB00","Original"
"US","US26","Survivor: Caramoan",26,"Bikal","#844184","Original"
"US","US26","Survivor: Caramoan",26,"Enil Edam","#81C41C","Merged"
"US","US26","Survivor: Caramoan",26,"Gota","#ED8927","Original"
"US","US27","Survivor: Blood vs. Water",27,"Galang","#E6AC1A","Original"
"US","US27","Survivor: Blood vs. Water",27,"Kasama","#4F2A7A","Merged"
"US","US27","Survivor: Blood vs. Water",27,"Tadhana","#B1201D","Original"
"US","US28","Survivor: Cagayan",28,"Aparri","#F09733","Original"
"US","US28","Survivor: Cagayan",28,"Luzon","#2FA976","Original"
"US","US28","Survivor: Cagayan",28,"Solana","#8D2F87","Original"
"US","US28","Survivor: Cagayan",28,"Solarrion","#000000","Merged"
"US","US29","Survivor: San Juan del Sur",29,"Coyopa","#F89532","Original"
"US","US29","Survivor: San Juan del Sur",29,"Hunahpu","#5CD7DF","Original"
"US","US29","Survivor: San Juan del Sur",29,"Huyopa","#2CD08A","Merged"
"US","US30","Survivor: Worlds Apart",30,"Escameca","#0B58A0","Original"
"US","US30","Survivor: Worlds Apart",30,"Masaya","#E9CC0E","Original"
"US","US30","Survivor: Worlds Apart",30,"Merica","#000000","Merged"
"US","US30","Survivor: Worlds Apart",30,"Nagarote","#C11E21","Original"
"US","US31","Survivor: Cambodia",31,"Angkor","#D2B423","Swapped"
"US","US31","Survivor: Cambodia",31,"Bayon","#DA1789","Original"
"US","US31","Survivor: Cambodia",31,"Orkun","#F8693D","Merged"
"US","US31","Survivor: Cambodia",31,"Ta Keo","#029B8D","Original"
"US","US32","Survivor: Kaoh Rong",32,"Chan Loh","#0750F5","Original"
"US","US32","Survivor: Kaoh Rong",32,"Dara","#000000","Merged"
"US","US32","Survivor: Kaoh Rong",32,"Gondol","#FCB517","Original"
"US","US32","Survivor: Kaoh Rong",32,"To Tang","#E00C33","Original"
"US","US33","Survivor: Millennials vs. Gen X",33,"Ikabula","#4AAC1B","Swapped"
"US","US33","Survivor: Millennials vs. Gen X",33,"Takali","#500C8E","Original"
"US","US33","Survivor: Millennials vs. Gen X",33,"Vanua","#DC3D0D","Original"
"US","US33","Survivor: Millennials vs. Gen X",33,"Vinaka","#000000","Merged"
"US","US34","Survivor: Game Changers",34,"Maku Maku","#F4CC3C","Merged"
"US","US34","Survivor: Game Changers",34,"Mana","#A32D21","Original"
"US","US34","Survivor: Game Changers",34,"Nuku","#105B91","Original"
"US","US34","Survivor: Game Changers",34,"Tavua","#3BD23A","Swapped"
"US","US35","Survivor: Heroes vs. Healers vs. Hustlers",35,"Levu","#0C5DDC","Original"
"US","US35","Survivor: Heroes vs. Healers vs. Hustlers",35,"Soko","#F1CD1F","Original"
"US","US35","Survivor: Heroes vs. Healers vs. Hustlers",35,"Solewa","#912E8D","Merged"
"US","US35","Survivor: Heroes vs. Healers vs. Hustlers",35,"Yawa","#E0192C","Original"
"US","US36","Survivor: Ghost Island",36,"Lavita","#000000","Merged"
"US","US36","Survivor: Ghost Island",36,"Malolo","#FF8B29","Original"
"US","US36","Survivor: Ghost Island",36,"Naviti","#9F3875","Original"
"US","US36","Survivor: Ghost Island",36,"Yanuya","#50C163","Swapped"
"US","US37","Survivor: David vs. Goliath",37,"David","#CF7315","Original"
"US","US37","Survivor: David vs. Goliath",37,"Goliath","#672D7B","Original"
"US","US37","Survivor: David vs. Goliath",37,"Jabeni","#672D7B","Swapped"
"US","US37","Survivor: David vs. Goliath",37,"Kalokalo","#93D2FF","Merged"
"US","US37","Survivor: David vs. Goliath",37,"Tiva","#398043","Swapped"
"US","US37","Survivor: David vs. Goliath",37,"Vuku","#CF7315","Swapped"
"US","US38","Survivor: Edge of Extinction",38,"Kama","#FACF22","Original"
"US","US38","Survivor: Edge of Extinction",38,"Lesu","#009480","Swapped"
"US","US38","Survivor: Edge of Extinction",38,"Manu","#1050BA","Original"
"US","US38","Survivor: Edge of Extinction",38,"Vata","#D32323","Merged"
"US","US39","Survivor: Island of the Idols",39,"Lairo","#F39442","Original"
"US","US39","Survivor: Island of the Idols",39,"Lumuwaku","#304ED2","Merged"
"US","US39","Survivor: Island of the Idols",39,"Vokai","#D99CD3","Original"
"US","US40","Survivor: Winners at War",40,"Dakal","#D80E0E","Original"
"US","US40","Survivor: Winners at War",40,"Koru","#000000","Merged"
"US","US40","Survivor: Winners at War",40,"Sele","#0067D6","Original"
"US","US40","Survivor: Winners at War",40,"Yara","#049451","Swapped"
"US","US41","Survivor: 41",41,"Luvu","#36AFE7","Original"
"US","US41","Survivor: 41",41,"Mergatory","#646464","Merged"
"US","US41","Survivor: 41",41,"Merged","#E34341","Merged"
"US","US41","Survivor: 41",41,"Ua","#76D070","Original"
"US","US41","Survivor: 41",41,"Yase","#F8DF5E","Original"
"US","US41","Survivor: 41",41,"Via Kana","#E34341","Merged"
"US","US42","Survivor: 42",42,"Ika","#2B8DCB","Original"
"US","US42","Survivor: 42",42,"Vati","#4FD899","Original"
"US","US42","Survivor: 42",42,"Taku","#FB963E","Original"
"US","US42","Survivor: 42",42,"Merged","#CA74CF","Merged"
"US","US42","Survivor: 42",42,"Kula Kula","#CA74CF","Merged"
